,Cluster_0,Cluster_1,Cluster_2,Cluster_3
1556883_a_at,4.906890596000009,0.8502074999999998,1.4954944444444445,4.906890596000023
1553962_s_at,7.739131240861632,7.319627499999998,7.334188888888887,6.859755811966886
1553295_at,4.911249413559757,1.6026075000000002,2.351630555555555,4.914379733513267
1559542_a_at,4.906890596000009,1.1357650000000001,1.7053555555555553,4.906890596000023
1552365_at,4.930405534547178,1.32338,1.8771138888888892,4.9337648116390955
1553266_at,4.906890596000009,1.3871850000000001,1.6791583333333335,4.906890596000023
1556210_at,4.906890596000009,1.8271299999999997,1.4145694444444443,4.925841681781479
1554526_at,4.906890596000009,0.9021925000000002,2.549894444444444,4.90794746341393
1552439_s_at,4.906890596000009,0.8728049999999999,1.7705833333333332,4.906890596000023
1552449_a_at,4.906890596000009,1.27691,1.1551722222222223,4.906890596000023
1558571_at,4.906890596000009,0.7891575000000002,1.7314999999999996,4.906890596000023
1553898_a_at,4.906890596000009,0.8249199999999994,1.7262055555555555,4.9069064933046596
1552424_at,4.908340991773595,0.5162325,2.2403277777777775,4.906890596000023
1558193_at,4.906890596000009,0.782535,1.723263888888889,4.906890596000023
1555349_a_at,11.694610450880498,10.7918475,10.630363888888889,9.849497802913898
1558411_at,4.9501205938301975,2.5795350000000004,2.452036111111111,5.026538640447042
1557883_a_at,4.906890596000009,1.1821125000000001,2.111836111111111,4.908531970708633
1556936_at,4.906890596000009,1.7197274999999999,1.7270861111111113,4.906890596000023
1555798_at,4.906890596000009,1.3626275000000003,1.3509916666666664,4.906890596000023
1553194_at,5.158425220754724,3.2450875000000003,4.471283333333334,5.555434232089419
1555643_s_at,7.160426122823905,6.025884999999999,5.900819444444447,5.435272235844382
1554022_at,4.906890596000009,1.3393850000000003,1.3624472222222224,4.906890596000023
1559621_at,4.906890596000009,0.9865049999999999,1.8007916666666663,4.907530483665586
1557009_a_at,4.906890596000009,1.2408100000000002,1.3981638888888892,4.906890596000023
1555979_at,4.908158733490575,0.8064374999999998,1.735811111111111,4.906890596000023
